Item Name,units,avg_price,avg_cost,margin_pct,popularity_pctile,suggested_change_pct,suggested_price,reason
Mac & Cheese,2134,390.725,159.174175,59.261840168916756,0.5633802816901409,0.0,390.0,Balanced - keep price stable
Chicken Burger,2131,342.5078764965343,149.20718966603656,56.43685885642798,0.5492957746478874,0.0,345.0,Balanced - keep price stable
Quinoa Power Bowl,2128,381.42857142857144,174.1628824273072,54.3393192138146,0.5352112676056338,0.0,380.0,Balanced - keep price stable
Chocolate Shake,2123,276.26786824114356,98.43265382224985,64.37057467127093,0.5211267605633803,0.0,275.0,Balanced - keep price stable
Falafel Wrap,2120,310.03192848020433,126.91339719029375,59.06441061976066,0.5070422535211268,0.0,310.0,Balanced - keep price stable
Tiramisu,2108,306.6354234001293,127.10400775694893,58.548817893394336,0.49295774647887325,0.0,305.0,Balanced - keep price stable
Veg Burger,2107,280.8485045513654,116.91268530559167,58.37161907187258,0.4788732394366197,0.0,280.0,Balanced - keep price stable
Red Velvet Slice,2099,276.26050420168065,115.87309631544925,58.05658262649898,0.4647887323943662,0.0,275.0,Balanced - keep price stable
Loaded Nachos,2090,340.8091553836235,130.41929078014184,61.73245679584559,0.4507042253521127,0.0,340.0,Balanced - keep price stable
Croissant,2085,139.01166558651977,49.852709008425144,64.13775146273807,0.43661971830985913,0.0,140.0,Balanced - keep price stable
Farmhouse Pizza,2081,441.22529644268775,185.47932147562582,57.962672817940216,0.4225352112676056,0.0,440.0,Balanced - keep price stable
Club Sandwich,2071,359.7245901639344,155.64304262295082,56.7327208429035,0.4084507042253521,0.0,360.0,Balanced - keep price stable
BBQ Chicken Pizza,2051,521.070707070707,232.3592255892256,55.407352123961275,0.39436619718309857,0.0,520.0,Balanced - keep price stable
Chocolate Brownie,2050,218.43608046722906,83.80837767683323,61.63253914025133,0.38028169014084506,0.0,220.0,Balanced - keep price stable
Iced Mocha,2048,278.8776178010471,93.45432591623036,66.48912643003814,0.3591549295774648,0.0,280.0,Balanced - keep price stable
Hot Chocolate,2048,235.81571994715983,73.03439894319683,69.02903718227014,0.3591549295774648,0.0,235.0,Balanced - keep price stable
Tandoori Paneer Pizza,2039,483.33440514469453,204.10650803858522,57.771160946532994,0.3380281690140845,0.0,485.0,Balanced - keep price stable
Cinnamon Roll,2035,179.4415069398546,69.24107072042301,61.41301313099689,0.323943661971831,0.0,180.0,Balanced - keep price stable
Garlic Bread,1992,223.23349217154527,76.92260721579305,65.54163693471168,0.30985915492957744,0.0,225.0,Balanced - keep price stable
Oreo Shake,1945,286.16326530612247,101.91353061224491,64.38622878334046,0.29577464788732394,0.0,285.0,Balanced - keep price stable
Cheesecake,1936,284.6070175438596,118.36786666666666,58.41006743678572,0.28169014084507044,0.0,285.0,Balanced - keep price stable
Choco Lava Cake,1917,255.98726114649682,107.59491861288039,57.9686433883498,0.2676056338028169,0.0,255.0,Balanced - keep price stable
Pancakes,1764,318.6724008975318,123.97190725504862,61.09738185488129,0.2535211267605634,0.0,320.0,Balanced - keep price stable
Belgian Waffle,1474,340.420814479638,142.777556561086,58.05851155742825,0.23943661971830985,0.0,340.0,Balanced - keep price stable
Eggs Benedict,1313,411.6439024390244,189.5613463414634,53.9501629397893,0.22535211267605634,0.0,410.0,Balanced - keep price stable
Masala Omelette,1301,251.7603550295858,90.57492110453649,64.02335820749359,0.2112676056338028,0.0,250.0,Balanced - keep price stable
Avocado Toast,1277,330.89390962671905,142.00403732809428,57.0847231705507,0.19718309859154928,0.0,330.0,Balanced - keep price stable
Granola Bowl,1255,293.3265720081136,119.68610547667343,59.19697807897102,0.18309859154929578,0.0,295.0,Balanced - keep price stable
French Toast,1248,280.14271151885833,101.329500509684,63.82932828760644,0.16901408450704225,0.0,280.0,Balanced - keep price stable
Aam Panna,1031,176.32226322263222,42.36166051660516,75.97486571328915,0.15492957746478872,0.0,175.0,Balanced - keep price stable
Kulfi Shake,979,274.1963109354414,93.12703557312253,66.03636451000648,0.14084507042253522,-3.0,265.0,Weak seller - small cut to win back volume
Mango Smoothie,857,288.8018433179723,93.19442396313364,67.73066858145842,0.1267605633802817,-3.0,280.0,Weak seller - small cut to win back volume
Mango Cooler,838,215.72196620583716,56.09253456221198,73.99776409014848,0.11267605633802817,-3.0,210.0,Weak seller - small cut to win back volume
Watermelon Slush,791,236.67752442996743,62.77850162866449,73.47508945774842,0.09859154929577464,-3.0,230.0,Weak seller - small cut to win back volume
Gajar Halwa+Icecream,779,319.2095588235294,117.4969669117647,63.19127555427584,0.08450704225352113,-3.0,310.0,Weak seller - small cut to win back volume
Mango Cheesecake,774,311.38613861386136,118.83559405940593,61.83658187599364,0.07042253521126761,-3.0,300.0,Weak seller - small cut to win back volume
Hot Apple Cider,761,212.98736462093862,56.456317689530685,73.49311411500487,0.056338028169014086,-3.0,205.0,Weak seller - small cut to win back volume
Spiced Pumpkin Latte,759,286.448087431694,89.70914389799636,68.68223324430879,0.04225352112676056,-3.0,280.0,Weak seller - small cut to win back volume
Saffron Kesar Latte,672,308.48547717842325,106.66892116182572,65.4217364987558,0.028169014084507043,-3.0,300.0,Weak seller - small cut to win back volume
Gingerbread Latte,667,283.6626746506986,87.05706586826346,69.30965063504908,0.014084507042253521,-3.0,275.0,Weak seller - small cut to win back volume
